City,City_latitude,City_longitude,State,Airport ,Airport _latitude,Airport _longitude,iata_code,Distance
Port Blair,11.6683,92.7378,Andaman and Nicobar Islands,Vir Savarkar International Airport,11.6412,92.7297,IXZ,3.139839322
Diglipur,13.2667,93,Andaman and Nicobar Islands,Vir Savarkar International Airport,11.6412,92.7297,IXZ,183.1144155
Rongat,12.4667,92.9333,Andaman and Nicobar Islands,Vir Savarkar International Airport,11.6412,92.7297,IXZ,94.42371876
Vishakhapatnam,17.7042,83.2978,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,599.7915603
Vijayawada,16.5193,80.6305,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,299.2169393
Guntur,16.3008,80.4428,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,267.7662191
Nellore,14.45,79.99,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,131.2188913
Kurnool,15.83,78.05,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,166.0125854
Kakinada,16.9661,82.255,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,462.0117407
Cuddapah,14.47,78.82,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,6.75470045
Rajahmundry,16.98,81.78,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,423.0761787
Tirupati,13.65,79.42,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,118.3948271
Anantapur,14.68,77.599,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,127.7132051
Tuni,17.35,82.55,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,512.6376681
Machilipatnam,16.17,81.13,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,312.9840425
Vizianagaram,18.1159,83.406,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,636.5028716
Ongole,15.506,80.049,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,176.2179751
Kodumur,15.6833,77.7833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,168.2408886
Ellore,16.7117,81.1031,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,349.5805028
Nandyal,15.48,78.48,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,112.34977
Pulimaddi,15.5386,78.4613,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,119.1662648
Madanapalle,13.55,78.5,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,110.7288099
Chirala,15.8246,80.3521,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,223.8182142
Adoni,15.6279,77.2749,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,203.2650422
Alasandigutta,15.6244,77.2731,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,203.1814658
