"City","City_latitude","City_longitude","State","Airport","Airport _latitude","Airport _longitude","iata_code","Distance"
"Port Blair","11.6683","92.7378","Andaman and Nicobar Islands","Vir Savarkar International Airport","11.6412","92.7297","IXZ","3.139839322"
"Diglipur","13.2667","93","Andaman and Nicobar Islands","Vir Savarkar International Airport","11.6412","92.7297","IXZ","183.1144155"
"Rongat","12.4667","92.9333","Andaman and Nicobar Islands","Vir Savarkar International Airport","11.6412","92.7297","IXZ","94.42371876"
"Nellore","14.45","79.99","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","131.2188913"
"Kurnool","15.83","78.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","166.0125854"
"Cuddapah","14.47","78.82","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","6.75470045"
"Tirupati","13.65","79.42","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","118.3948271"
"Anantapur","14.68","77.599","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","127.7132051"
"Ongole","15.506","80.049","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","176.2179751"
"Kodumur","15.6833","77.7833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","168.2408886"
"Nandyal","15.48","78.48","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","112.34977"
"Pulimaddi","15.5386","78.4613","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","119.1662648"
"Madanapalle","13.55","78.5","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","110.7288099"
"Proddatur","14.75","78.55","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","35.87043125"
"Chittoor","13.216","79.098","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","148.1075941"
"Hindupur","13.83","77.49","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","157.6180853"
"Guntakal","15.17","77.38","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","166.7240665"
"Dharmavaram","14.43","77.72","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","113.6987796"
"Tadpatri","14.92","78.02","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","92.9134262"
"Suramala","13.76","79.7","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","130.1954314"
"Kalluru","15.8344","78.0292","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","167.4968"
"Emmiganur","15.7333","77.4833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","194.0658895"
"Yalamakuru","15.5103","77.5249","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","174.1649433"
"Rayachoti","14.0583","78.7517","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","50.27808701"
