City ,State,latitude,longitude,Airport_Name,lat,lng,iata_code
Port Blair,Andaman and Nicobar Islands,11.6683,92.7378,Vir Savarkar International Airport,11.64120007,92.72969818,IXZ
Diglipur,Andaman and Nicobar Islands,13.2667,93,Vir Savarkar International Airport,11.64120007,92.72969818,IXZ
Rongat,Andaman and Nicobar Islands,12.4667,92.9333,Vir Savarkar International Airport,11.64120007,92.72969818,IXZ
Vishakhapatnam,Andhra Pradesh,17.7042,83.2978,Kadapa Airport,14.51,78.772778,CDP
Vijayawada,Andhra Pradesh,16.5193,80.6305,Kadapa Airport,14.51,78.772778,CDP
Guntur,Andhra Pradesh,16.3008,80.4428,Kadapa Airport,14.51,78.772778,CDP
Nellore,Andhra Pradesh,14.45,79.99,Kadapa Airport,14.51,78.772778,CDP
Kurnool,Andhra Pradesh,15.83,78.05,Kadapa Airport,14.51,78.772778,CDP
Kakinada,Andhra Pradesh,16.9661,82.255,Kadapa Airport,14.51,78.772778,CDP
Cuddapah,Andhra Pradesh,14.47,78.82,Kadapa Airport,14.51,78.772778,CDP
Rajahmundry,Andhra Pradesh,16.98,81.78,Kadapa Airport,14.51,78.772778,CDP
Tirupati,Andhra Pradesh,13.65,79.42,Kadapa Airport,14.51,78.772778,CDP
Anantapur,Andhra Pradesh,14.68,77.599,Kadapa Airport,14.51,78.772778,CDP
Tuni,Andhra Pradesh,17.35,82.55,Kadapa Airport,14.51,78.772778,CDP
Machilipatnam,Andhra Pradesh,16.17,81.13,Kadapa Airport,14.51,78.772778,CDP
Vizianagaram,Andhra Pradesh,18.1159,83.406,Kadapa Airport,14.51,78.772778,CDP
Ongole,Andhra Pradesh,15.506,80.049,Kadapa Airport,14.51,78.772778,CDP
Kodumur,Andhra Pradesh,15.6833,77.7833,Kadapa Airport,14.51,78.772778,CDP
Ellore,Andhra Pradesh,16.7117,81.1031,Kadapa Airport,14.51,78.772778,CDP
Nandyal,Andhra Pradesh,15.48,78.48,Kadapa Airport,14.51,78.772778,CDP
Pulimaddi,Andhra Pradesh,15.5386,78.4613,Kadapa Airport,14.51,78.772778,CDP
Madanapalle,Andhra Pradesh,13.55,78.5,Kadapa Airport,14.51,78.772778,CDP
Chirala,Andhra Pradesh,15.8246,80.3521,Kadapa Airport,14.51,78.772778,CDP
Adoni,Andhra Pradesh,15.6279,77.2749,Kadapa Airport,14.51,78.772778,CDP
Alasandigutta,Andhra Pradesh,15.6244,77.2731,Kadapa Airport,14.51,78.772778,CDP
Tenali,Andhra Pradesh,16.239,80.645,Kadapa Airport,14.51,78.772778,CDP
Proddatur,Andhra Pradesh,14.75,78.55,Kadapa Airport,14.51,78.772778,CDP
Chittoor,Andhra Pradesh,13.216,79.098,Kadapa Airport,14.51,78.772778,CDP
Hindupur,Andhra Pradesh,13.83,77.49,Kadapa Airport,14.51,78.772778,CDP
Nuzvid,Andhra Pradesh,16.7881,80.8465,Kadapa Airport,14.51,78.772778,CDP
Bhimavaram,Andhra Pradesh,16.543,81.523,Kadapa Airport,14.51,78.772778,CDP
Chicacole,Andhra Pradesh,18.3,83.9,Kadapa Airport,14.51,78.772778,CDP
Guntakal,Andhra Pradesh,15.17,77.38,Kadapa Airport,14.51,78.772778,CDP
Dharmavaram,Andhra Pradesh,14.43,77.72,Kadapa Airport,14.51,78.772778,CDP
Jandrapeta,Andhra Pradesh,15.8246,80.3521,Kadapa Airport,14.51,78.772778,CDP
Gudivada,Andhra Pradesh,16.43,80.99,Kadapa Airport,14.51,78.772778,CDP
Narasaraopet,Andhra Pradesh,16.236,80.0498,Kadapa Airport,14.51,78.772778,CDP
Tadpatri,Andhra Pradesh,14.92,78.02,Kadapa Airport,14.51,78.772778,CDP
Tadepallegudem,Andhra Pradesh,16.815,81.526,Kadapa Airport,14.51,78.772778,CDP
Amaravati,Andhra Pradesh,16.5131,80.5165,Kadapa Airport,14.51,78.772778,CDP
Chilakalurupet,Andhra Pradesh,16.0892,80.1672,Kadapa Airport,14.51,78.772778,CDP
Suramala,Andhra Pradesh,13.76,79.7,Kadapa Airport,14.51,78.772778,CDP
Kalluru,Andhra Pradesh,15.8344,78.0292,Kadapa Airport,14.51,78.772778,CDP
Pedagadi,Andhra Pradesh,17.6615,83.2104,Kadapa Airport,14.51,78.772778,CDP
Emmiganur,Andhra Pradesh,15.7333,77.4833,Kadapa Airport,14.51,78.772778,CDP
Yalamakuru,Andhra Pradesh,15.5103,77.5249,Kadapa Airport,14.51,78.772778,CDP
Rayachoti,Andhra Pradesh,14.0583,78.7517,Kadapa Airport,14.51,78.772778,CDP
Kavali,Andhra Pradesh,14.913,79.9929,Kadapa Airport,14.51,78.772778,CDP
Kadiri,Andhra Pradesh,14.12,78.17,Kadapa Airport,14.51,78.772778,CDP
Anakapalle,Andhra Pradesh,17.6913,83.0039,Kadapa Airport,14.51,78.772778,CDP
Chinnachauku,Andhra Pradesh,14.4732,78.8451,Kadapa Airport,14.51,78.772778,CDP
Tanuku,Andhra Pradesh,16.7566,81.677,Kadapa Airport,14.51,78.772778,CDP
Yanam,Andhra Pradesh,16.7333,82.2167,Kadapa Airport,14.51,78.772778,CDP
Gangammapeta,Andhra Pradesh,18.498,83.9642,Kadapa Airport,14.51,78.772778,CDP
Gudur,Andhra Pradesh,14.1473,79.8477,Kadapa Airport,14.51,78.772778,CDP
Mangalagiri,Andhra Pradesh,16.43,80.55,Kadapa Airport,14.51,78.772778,CDP
Rayadrug,Andhra Pradesh,14.6997,76.8524,Kadapa Airport,14.51,78.772778,CDP
Markapur,Andhra Pradesh,15.73,79.26,Kadapa Airport,14.51,78.772778,CDP
Bapatla,Andhra Pradesh,15.9044,80.4675,Kadapa Airport,14.51,78.772778,CDP
Badvel,Andhra Pradesh,14.75,79.05,Kadapa Airport,14.51,78.772778,CDP
Piduguralla,Andhra Pradesh,16.4793,79.8863,Kadapa Airport,14.51,78.772778,CDP
Pulivendla,Andhra Pradesh,14.4194,78.225,Kadapa Airport,14.51,78.772778,CDP
Tadepalle,Andhra Pradesh,16.4803,80.6186,Kadapa Airport,14.51,78.772778,CDP
Pamuru,Andhra Pradesh,15.097,79.409,Kadapa Airport,14.51,78.772778,CDP
Nagari,Andhra Pradesh,13.3214,79.5856,Kadapa Airport,14.51,78.772778,CDP
Razampeta,Andhra Pradesh,14.1954,79.159,Kadapa Airport,14.51,78.772778,CDP
Chandralapadu,Andhra Pradesh,16.715,80.2089,Kadapa Airport,14.51,78.772778,CDP
Ponnuru,Andhra Pradesh,16.0667,80.5667,Kadapa Airport,14.51,78.772778,CDP
Vinukonda,Andhra Pradesh,16.05,79.75,Kadapa Airport,14.51,78.772778,CDP
Dhone,Andhra Pradesh,15.396,77.872,Kadapa Airport,14.51,78.772778,CDP
Narasapur,Andhra Pradesh,16.4361,81.7016,Kadapa Airport,14.51,78.772778,CDP
Palasa,Andhra Pradesh,18.7731,84.4078,Kadapa Airport,14.51,78.772778,CDP
Macherla,Andhra Pradesh,16.48,79.43,Kadapa Airport,14.51,78.772778,CDP
Kandukur,Andhra Pradesh,15.2167,79.9042,Kadapa Airport,14.51,78.772778,CDP
Samalkot,Andhra Pradesh,17.0531,82.1695,Kadapa Airport,14.51,78.772778,CDP
Bobbili,Andhra Pradesh,18.5667,83.3667,Kadapa Airport,14.51,78.772778,CDP
Sattenapalle,Andhra Pradesh,16.3962,80.1497,Kadapa Airport,14.51,78.772778,CDP
Mandapeta,Andhra Pradesh,16.87,81.93,Kadapa Airport,14.51,78.772778,CDP
Atchampeta,Andhra Pradesh,15.5412,78.9503,Kadapa Airport,14.51,78.772778,CDP
Bhimunipatnam,Andhra Pradesh,17.8846,83.4393,Kadapa Airport,14.51,78.772778,CDP
Pithapuram,Andhra Pradesh,17.1167,82.2667,Kadapa Airport,14.51,78.772778,CDP
Punganuru,Andhra Pradesh,13.3667,78.5833,Kadapa Airport,14.51,78.772778,CDP
Puttur,Andhra Pradesh,13.45,79.55,Kadapa Airport,14.51,78.772778,CDP
Palmaner,Andhra Pradesh,13.2,78.75,Kadapa Airport,14.51,78.772778,CDP
Parvatipuram,Andhra Pradesh,18.78,83.425,Kadapa Airport,14.51,78.772778,CDP
Mansala,Andhra Pradesh,15.9417,77.4281,Kadapa Airport,14.51,78.772778,CDP
